"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
0.9713263,0.42068428,0.9007879,0.31667128,0.7312469,0.23354106,0.5587193,0.6714722,0.5969191,0.67072177,0.19017868,0.8411871,0.4145437,0.8386488,0.7169653,0.7726602,0.789129,0.6383018,0.40597382,0.5072318,0.45161843,0.47904474,0.7875793,0.5057389,0.6953557,0.30091092,0.651983,0.41411495,0.00012836422,0.0
0.9415884,0.45878708,0.91944194,0.54573286,0.74260837,0.30569345,0.5441297,0.63043475,0.49731743,0.6997676,0.09719922,0.8295632,0.62686884,0.8424745,0.7255579,0.8152626,0.78113675,0.7325631,0.5459372,0.55468315,0.42833456,0.5188702,0.7783974,0.35755476,0.7474308,0.3409757,0.6662331,0.44907117,0.00049271114,0.0
0.89476705,0.42558324,0.93597454,0.30836856,0.73166686,0.2937886,0.5804149,0.6649608,0.6048398,0.67953736,0.26121673,0.8516629,0.37177598,0.7994301,0.48947898,0.7516375,0.77853805,0.6874996,0.4930278,0.49245125,0.44802126,0.49821398,0.7832949,0.4378412,0.6414609,0.122378126,0.61370194,0.3516877,0.02834256,0.0
0.90739447,0.4438891,0.9147333,0.34849435,0.7455294,0.2583179,0.56340814,0.67803735,0.5755364,0.67983466,0.20465496,0.848345,0.36521927,0.8362197,0.47594485,0.74430877,0.79097486,0.74944305,0.6220424,0.5171137,0.45493189,0.52594054,0.77672905,0.43983617,0.6841227,0.22062218,0.6541367,0.39530888,0.00030340633,0.0
0.9653676,0.3999979,0.87808216,0.28867617,0.7373533,0.26264143,0.558895,0.67378587,0.61134213,0.67067933,0.17271182,0.82939476,0.29137397,0.84207636,0.53589225,0.8042591,0.76794523,0.7444289,0.5607838,0.52233577,0.45202214,0.4631775,0.77033514,0.2931919,0.7336255,0.38063142,0.6456312,0.41337177,0.02048641,0.0
0.83640903,0.48021078,0.9339181,0.42655942,0.7276387,0.3674975,0.5206012,0.547034,0.65060806,0.71041656,0.22225827,0.67924595,0.41945788,0.8985709,0.6425116,0.8437319,0.8018814,0.8889009,0.55547696,0.42458758,0.6056457,0.3879603,0.7911466,0.2595865,0.6979756,0.3778446,0.7065791,0.38194954,0.015316833,0.0
0.9731696,0.4244616,0.8918059,0.3194222,0.73316264,0.22097856,0.55999035,0.6695421,0.59731597,0.66596663,0.16564786,0.82730967,0.4169518,0.813861,0.69618416,0.8035181,0.789726,0.6981411,0.4469169,0.50980747,0.45005217,0.4640785,0.7844149,0.49720564,0.71190226,0.29886115,0.65100014,0.41583285,0.00025672844,0.0
0.97262585,0.40235367,0.9013051,0.2498838,0.72323453,0.24184275,0.55198747,0.6690917,0.60872453,0.6771109,0.25377864,0.7173024,0.8298473,0.87115717,0.5848909,0.82443404,0.8260126,0.57700026,0.4688302,0.52285206,0.45256102,0.48942712,0.7832931,0.4437216,0.703245,0.17461309,0.6527282,0.41536167,0.009839959,0.0
0.8631313,0.47601873,0.8916739,0.22916406,0.72118884,0.22118458,0.5592414,0.6866643,0.62128145,0.6851981,0.11076776,0.8438774,0.4169892,0.8313818,0.5211905,0.78384894,0.7894403,0.6742667,0.42802364,0.53327817,0.45070246,0.48380023,0.78253233,0.50599545,0.69513226,0.3457881,0.7051766,0.46229896,0.0006483041,0.0
0.95765024,0.38874835,0.91278327,0.3079532,0.707366,0.24205907,0.555409,0.6714574,0.6396334,0.6575455,0.14857636,0.87318337,0.5301199,0.7963046,0.510538,0.7643089,0.7964239,0.6581232,0.49395552,0.5328527,0.45456383,0.48988438,0.7754209,0.5837326,0.68751484,0.4653854,0.64683926,0.419921,0.030677753,0.0
0.9145176,0.4323349,0.94495434,0.30438077,0.7346413,0.24720193,0.5606081,0.6733961,0.66512465,0.65035534,0.17354296,0.7153454,0.6454617,0.866394,0.44796795,0.76667345,0.8092482,0.7398864,0.45495218,0.520186,0.4557211,0.54041314,0.7735465,0.50732374,0.6648109,0.36559224,0.68241954,0.43894732,0.003888528,0.0
0.8241923,0.3919175,0.7485725,0.47880054,0.730469,0.21810785,0.5058402,0.6971377,0.51343286,0.57041496,0.36450073,0.67655027,0.6910323,0.62546873,0.4894262,0.5429221,0.49877986,0.53155875,0.66943467,0.5010655,0.47168362,0.5669941,0.8207434,0.4568949,0.4915802,0.114587724,0.74840564,0.42580566,0.018774888,1.0
0.91737825,0.42223632,0.96259356,0.36107925,0.7204843,0.2996349,0.5549293,0.68121624,0.59978163,0.66501254,0.2503414,0.8759035,0.4893433,0.80087763,0.5491084,0.75436443,0.7931938,0.7624225,0.519269,0.5239282,0.46463534,0.597516,0.7799087,0.4852877,0.6133789,0.25493222,0.67485523,0.43569216,0.010728137,0.0
0.9790903,0.38700628,0.8691737,0.17099616,0.7329274,0.2697908,0.5502019,0.67276794,0.49230406,0.71574265,0.19687557,0.80318415,0.5081534,0.82621354,0.55948645,0.7618889,0.79423845,0.7120482,0.51405257,0.5049424,0.44498852,0.43541306,0.7795894,0.19072658,0.72488993,0.1879969,0.6542377,0.4116721,0.008420174,0.0
0.8775679,0.42841083,0.8711722,0.15688816,0.7234961,0.24018857,0.55961144,0.63294464,0.6032204,0.61331046,0.15019616,0.8522796,0.35635453,0.8729624,0.7095804,0.7413856,0.80193853,0.68162763,0.4759374,0.53802854,0.43232596,0.56041414,0.7987174,0.457315,0.6656909,0.25681335,0.6879598,0.40020424,0.020745732,0.0
0.9248835,0.43567812,0.9091292,0.14918351,0.7536179,0.2168038,0.5747579,0.6651372,0.6268751,0.6413785,0.12896936,0.84517735,0.5189303,0.81905526,0.66018033,0.7505458,0.76439005,0.72607183,0.47524425,0.51840365,0.45660433,0.5441809,0.7641948,0.4228617,0.706229,0.110068634,0.6751474,0.40914467,0.00012966082,0.0
0.91701996,0.43032387,0.92228013,0.33518383,0.7532469,0.2274065,0.5707563,0.66573477,0.5765086,0.6768308,0.14299741,0.8111649,0.40923458,0.829273,0.6920835,0.7545589,0.7800958,0.72586995,0.51321805,0.51710534,0.4582894,0.5437198,0.7780279,0.5077995,0.6461298,0.20183617,0.64205074,0.4087711,0.004654824,0.0
0.99343556,0.44150913,0.82500064,0.50628626,0.7817202,0.28537104,0.5624129,0.6740576,0.5412746,0.6880274,0.198252,0.84339416,0.5737022,0.71732813,0.30750045,0.85831845,0.81381994,0.802277,0.3493691,0.51003695,0.45625314,0.5291327,0.7743519,0.37317663,0.73715836,0.31814575,0.6529297,0.40994704,0.0011941761,1.0
0.84579355,0.39896566,0.9156302,0.20190868,0.73017466,0.27973676,0.55897176,0.68672496,0.62083983,0.6400674,0.23640579,0.89331734,0.44806015,0.8090656,0.34889975,0.7941749,0.7866346,0.6353638,0.3246153,0.45856082,0.45104867,0.531112,0.817172,0.4017184,0.63363576,0.40843087,0.62855244,0.33853525,0.0181577,0.0
0.970383,0.40881747,0.8764752,0.28914538,0.73550946,0.23019157,0.56252754,0.66854733,0.60905397,0.66767836,0.10330285,0.8181545,0.3606279,0.8342542,0.58263016,0.77009845,0.7863718,0.6790647,0.5139987,0.51709443,0.4544047,0.4971447,0.77019066,0.4325967,0.7631676,0.51094216,0.642971,0.411842,0.011897678,0.0
0.971878,0.41370466,0.9040065,0.28079498,0.7271684,0.24286562,0.55463845,0.6727679,0.6099672,0.6675691,0.1742937,0.8402915,0.4613581,0.8274411,0.74407476,0.7896262,0.78478265,0.6509984,0.42620376,0.51071,0.4526003,0.4874992,0.78637534,0.45952144,0.6738044,0.44919914,0.6491387,0.41328767,0.0010463628,0.0
0.88241255,0.38015103,0.94647396,0.30182412,0.7404449,0.25606382,0.5560887,0.6775457,0.5839185,0.66008973,0.22956839,0.8530726,0.4916078,0.8156215,0.6132952,0.7855482,0.7825121,0.7837398,0.62035644,0.55835557,0.4637606,0.5431113,0.79529625,0.45142657,0.7065048,0.5466192,0.64499927,0.42564365,0.02982199,0.0
0.9711767,0.396741,0.90298593,0.24700756,0.717113,0.24687865,0.54837734,0.6737061,0.6138472,0.6838703,0.35243744,0.6900679,0.45307353,0.90186644,0.53152907,0.8385402,0.825065,0.63293,0.492523,0.5152867,0.45319736,0.48609644,0.78526956,0.45761663,0.6829368,0.17028321,0.6510001,0.4132822,0.009052918,0.0
0.9206668,0.42688546,0.9075532,0.31229365,0.8001326,0.40535435,0.5521148,0.6928205,0.5735472,0.67302173,0.11007079,0.8204087,0.4516903,0.8031416,0.45707077,0.8375979,0.7515937,0.73997337,0.35738102,0.5131512,0.4553614,0.50293666,0.7767522,0.61041534,0.6614579,0.23081829,0.6606992,0.42105195,0.0,0.0
0.9702175,0.42592123,0.89589506,0.3214625,0.7422922,0.25106215,0.5573911,0.6720331,0.6362452,0.6584139,0.37222373,0.771527,0.7587236,0.8771239,0.5383213,0.7944171,0.8118972,0.7140513,0.4184234,0.51021355,0.4489226,0.4704663,0.7848614,0.42657152,0.6979161,0.29261568,0.6501397,0.41345614,0.001221405,0.0
0.39876288,0.74899614,0.34270728,0.9449222,0.4292337,0.24442151,0.26159436,0.5854544,0.21155566,0.2281377,0.5677638,0.2169022,0.43149465,0.52114576,0.40775263,0.26181608,0.26626492,0.17693335,0.68725467,0.6259818,0.35655934,0.5718094,0.8533616,0.49833795,0.5810565,0.23032041,0.38158235,0.34400135,0.00021134714,1.0
0.9158783,0.44450226,0.929176,0.29723644,0.7507625,0.24052092,0.5749358,0.66190475,0.57747227,0.68976337,0.28678674,0.85830396,0.4794523,0.81494844,0.5603382,0.76888144,0.76231056,0.7390009,0.467316,0.51397365,0.45834318,0.54546666,0.768739,0.535537,0.7003566,0.17356142,0.5799202,0.3499697,0.0023325982,0.0
0.9669172,0.41376105,0.9256717,0.39762536,0.72338945,0.27420613,0.5510028,0.67585117,0.7064804,0.6520729,0.17935024,0.7541092,0.57174706,0.85644877,0.25850573,0.7074847,0.84080696,0.6312832,0.45156446,0.50223815,0.44496495,0.46310532,0.7845535,0.4975437,0.73224396,0.16070315,0.65886253,0.41520673,0.001939726,0.0
0.96938574,0.4133192,0.9165182,0.3465046,0.7247358,0.26911548,0.55058706,0.676783,0.62244415,0.6725409,0.21599668,0.8722311,0.4341796,0.8154296,0.49578568,0.79673094,0.76986533,0.7581918,0.4876388,0.5094063,0.45523834,0.51837873,0.7766365,0.43759397,0.7439859,0.19451728,0.6594154,0.41507486,0.0012953116,0.0
0.9681752,0.40968904,0.9053995,0.36009395,0.7312434,0.28467107,0.5513713,0.6797439,0.63300437,0.67243326,0.19180998,0.8395988,0.15795907,0.8287394,0.41072845,0.75187814,0.794533,0.7119347,0.4841259,0.5018894,0.4544151,0.516006,0.7747609,0.38246503,0.7639807,0.22695145,0.65841264,0.41241103,0.0014262691,0.0
0.891572,0.4246408,0.9316638,0.17901416,0.73340356,0.24929798,0.55611885,0.68121976,0.5661123,0.65946984,0.34432253,0.73821175,0.792238,0.8865267,0.42583928,0.85006446,0.8168136,0.6257512,0.4449495,0.52775717,0.45479175,0.4962291,0.7799616,0.4273315,0.7185263,0.15831408,0.6645126,0.41109955,0.007690184,0.0
0.9038313,0.4185107,0.9101949,0.24360311,0.75267464,0.24546346,0.57786304,0.6724806,0.54755765,0.6520827,0.27905816,0.86748713,0.4601118,0.84421057,0.50702745,0.7866016,0.77183485,0.6620705,0.3935302,0.529168,0.45374072,0.46501327,0.7978065,0.43610606,0.6921189,0.2759097,0.64098173,0.4123361,0.024609625,0.0
0.92071253,0.43141347,0.9166159,0.14977556,0.74905664,0.2295094,0.5716562,0.67011905,0.62059593,0.64566284,0.29029423,0.8635282,0.33090678,0.83994716,0.6137765,0.7369067,0.7752561,0.7226297,0.44199648,0.513365,0.4588576,0.55953205,0.76893866,0.4768272,0.67269397,0.104327336,0.6757134,0.40789035,0.00012966082,0.0
